,City,Country,Latitude,Logitude,Temperature,Humidity,Cloudiness,Wind Speed
42,Ouesso,CG,1.61,16.05,77.32,61,99,2.37
43,Port Alfred,ZA,-33.59,26.89,73.99,90,12,3.27
44,Morondava,MG,-20.28,44.28,75.42,93,26,3.31
45,Tautira,PF,-17.73,-149.15,87.46,58,75,6.93
46,Chokurdakh,RU,70.63,147.92,-16.08,96,100,9.66
47,Xiuyan,CN,40.29,123.27,17.22,84,76,8.48
48,Kavieng,PG,-2.57,150.8,83.62,80,24,10.29
49,Bambous Virieux,MU,-20.34,57.76,79.39,78,75,12.75
50,Ligayan,PH,4.65,119.47,80.67,77,100,15.55
51,Saldanha,ZA,-33.01,17.94,68.0,82,7,6.93
52,Jertih,MY,5.73,102.49,75.15,83,20,2.24
53,Pemberton,CA,50.32,-122.8,26.6,58,20,2.24
54,Mataura,NZ,-46.19,168.86,51.01,98,100,5.99
55,Wilmington,US,34.23,-77.94,62.8,62,1,8.05
56,Coquimbo,CL,-29.95,-71.34,69.8,68,75,10.29
57,Vaini,TO,-21.2,-175.2,73.4,94,75,4.7
58,College,US,64.86,-147.8,6.62,91,90,2.64
59,Rikitea,PF,-23.12,-134.97,78.66,75,42,12.44
60,Walvis Bay,NA,-22.96,14.51,66.94,72,5,14.99
61,Kodiak,US,57.79,-152.41,37.4,93,90,14.99
62,Mahebourg,MU,-20.41,57.7,79.43,78,75,12.75
63,Cajati,BR,-24.74,-48.12,71.69,98,100,1.83
64,Cidreira,BR,-30.18,-50.21,76.37,83,36,25.66
65,Onega,RU,63.91,38.14,27.64,96,100,10.51
66,Taoudenni,ML,22.68,-3.98,68.85,17,0,13.53
67,Torbay,CA,47.67,-52.73,29.34,74,90,33.33
68,Castro,BR,-24.79,-50.01,71.51,73,2,8.01
69,Pleasanton,US,37.66,-121.87,51.06,29,1,25.28
70,Lompoc,US,34.64,-120.46,55.26,23,1,11.41
71,Tarko-Sale,RU,64.92,77.78,-2.99,84,100,14.09
72,Methoni,GR,36.82,21.7,53.15,87,54,4.7
73,Flinders,AU,-34.58,150.86,59.13,47,75,5.82
74,Bonavista,CA,48.65,-53.11,30.0,79,77,20.0
75,East London,ZA,-33.02,27.91,77.0,69,27,5.82
76,Paphos,CY,34.77,32.42,53.13,81,75,6.93
77,Mount Gambier,AU,-37.83,140.77,42.8,87,0,2.93
78,Leshukonskoye,RU,64.9,45.76,24.78,97,100,2.46
79,Kabansk,RU,52.05,106.65,-31.0,66,0,4.47
80,Lang Son,VN,21.83,106.73,49.33,95,99,5.28
81,Killybegs,IE,54.63,-8.45,41.65,81,75,31.09
82,Cape Town,ZA,-33.93,18.42,70.11,100,90,13.87
83,Pacific Grove,US,36.62,-121.92,51.24,46,1,16.11
84,Montepuez,MZ,-13.13,39.0,70.0,98,67,3.18
85,Bluff,NZ,-46.6,168.33,51.01,98,100,5.99
86,Bahir Dar,ET,11.59,37.39,68.38,36,63,8.05
87,Luwuk,ID,-0.95,122.79,80.42,77,100,6.02
88,Ilulissat,GL,69.22,-51.1,-0.4,70,20,2.24
89,Owensboro,US,37.77,-87.11,71.31,27,1,23.04
90,Klaksvik,FO,62.23,-6.59,39.2,86,100,4.7
91,Verkhnevilyuysk,RU,63.45,120.32,-36.96,97,44,4.27
92,Aketi,CD,2.74,23.78,75.38,47,5,1.01
93,Upernavik,GL,72.79,-56.15,-20.2,79,0,6.06
94,Mar del Plata,AR,-38.0,-57.56,92.77,62,0,16.11
95,Tarrafal,CV,15.28,-23.77,82.4,28,0,8.05
96,Anadyr,RU,64.75,177.48,-29.11,73,100,4.47
97,Hermanus,ZA,-34.42,19.23,70.65,89,42,1.99
98,Itaituba,BR,-4.28,-55.98,84.2,79,40,10.29
99,Erdenet,MN,49.03,104.08,-13.09,99,11,2.86
100,Avarua,CK,-21.21,-159.78,80.6,88,100,8.05
101,Mecca,SA,21.43,39.83,70.93,62,100,3.02
102,San Rafael del Sur,NI,11.85,-86.44,93.2,38,20,23.04
103,Darnah,LY,32.77,22.64,60.91,78,5,17.83
104,Bosaso,SO,11.28,49.18,75.38,79,4,18.03
105,Hithadhoo,MV,-0.6,73.08,81.9,78,16,15.17
106,Thompson,CA,55.74,-97.86,-5.8,70,75,13.87
107,Chapais,CA,49.78,-74.85,26.6,86,90,6.93
108,Umm Lajj,SA,25.02,37.27,64.9,31,18,3.98
109,Khovd,MN,48.01,91.64,-5.49,68,0,1.23
110,Severo-Kuril'sk,RU,50.68,156.12,6.96,85,2,8.1
111,Hobyo,SO,5.35,48.53,75.34,72,0,15.46
112,Seydisehir,TR,37.42,31.85,33.12,99,100,4.03
113,Lavrentiya,RU,65.58,-171.0,-11.7,82,100,15.57
114,Saint-Philippe,RE,-21.36,55.77,75.33,65,0,20.8
115,Podgornoye,RU,51.73,39.15,33.8,80,92,8.95
116,Carnarvon,AU,-24.87,113.63,73.4,100,0,8.05
117,Palencia,ES,42.42,-4.5,48.15,97,0,7.05
118,Aykhal,RU,66.0,111.5,-29.2,66,0,2.24
119,Antofagasta,CL,-23.65,-70.4,72.66,60,20,14.99
120,Faya,SA,18.39,42.45,58.06,87,40,4.7
121,Ketchikan,US,55.34,-131.65,32.86,93,90,25.28
122,Jamestown,US,42.1,-79.24,46.58,94,1,10.29
123,Yellowknife,CA,62.46,-114.35,-18.51,75,75,10.29
124,Saint George,US,37.1,-113.58,36.82,26,75,12.75
125,Rocha,UY,-34.48,-54.33,79.2,52,0,15.9
126,Pahrump,US,36.21,-115.98,40.42,16,20,20.8
127,Nikolskoye,RU,59.7,30.79,31.41,74,90,24.61
128,Bengkulu,ID,-3.8,102.27,73.2,90,100,3.71
129,Bayan,CN,46.08,127.4,-11.13,99,100,2.82
130,Ballina,AU,-28.87,153.57,72.7,78,90,14.99
131,Nkhotakota,MW,-12.93,34.3,80.62,71,100,10.36
132,Indianola,US,41.36,-93.56,35.76,94,90,12.75
133,Waipawa,NZ,-41.41,175.52,67.75,83,71,24.16
134,Byron Bay,AU,-28.65,153.62,73.65,78,90,14.99
135,Ibra,OM,22.69,58.53,65.59,53,0,12.73
136,Kumul,CN,42.8,93.45,10.13,69,0,3.04
137,Katsuura,JP,35.13,140.3,45.19,45,27,12.75
138,Tasiilaq,GL,65.61,-37.64,14.0,66,100,5.86
139,Vardo,NO,70.37,31.11,20.91,68,40,27.51
140,Baoma,CN,31.49,106.11,43.77,87,37,2.15
141,Seattle,US,47.61,-122.33,38.3,80,90,4.7
142,Krasnyy Chikoy,RU,50.36,108.75,-27.71,99,79,1.16
143,Port Elizabeth,ZA,-33.92,25.57,75.2,94,75,1.12
144,Guilin,CN,25.28,110.29,46.4,100,90,2.24
145,Alofi,NU,-19.06,-169.92,78.8,88,59,3.36
146,Mongo,TD,12.18,18.69,69.01,18,0,6.69
147,Veraval,IN,20.9,70.37,61.07,32,31,9.17
148,Kanchanaburi,TH,14.63,99.1,67.69,66,9,2.73
149,Qaanaaq,GL,77.48,-69.36,-23.35,59,90,5.17
150,Hilo,US,19.73,-155.09,72.75,64,40,4.7
151,Lomza,PL,53.18,22.06,33.19,78,80,5.1
152,Yicheng,CN,31.37,119.87,44.1,69,33,1.01
153,Inongo,CD,-1.95,18.27,77.34,68,82,0.49
154,Gigmoto,PH,13.78,124.39,76.48,78,98,19.8
155,Deputatsky,RU,69.3,139.9,-18.47,93,100,5.75
156,Nelson Bay,AU,-32.72,152.15,67.55,56,90,14.99
157,Rock Sound,BS,24.9,-76.2,70.56,54,0,5.03
158,Ipanema,BR,-30.14,-51.22,87.69,49,20,17.22
159,Sangar,RU,63.92,127.47,-41.85,98,92,4.7
160,Isangel,VU,-19.55,169.27,75.2,88,87,13.98
161,Mandera,KE,3.94,41.87,75.99,13,97,1.01
162,Kolyvan,RU,55.31,82.74,19.4,92,90,4.47
163,Codrington,AU,-38.27,141.97,56.68,61,67,11.12
164,Galle,LK,6.04,80.22,79.02,80,55,10.38
165,Bushehr,IR,28.97,50.84,57.2,54,0,6.93
166,Pasni,PK,25.26,63.47,64.49,76,0,5.53
167,Longyearbyen,SJ,78.22,15.64,-4.0,64,40,5.82
168,Esperance,AU,-33.87,121.9,55.4,87,0,6.93
169,Mitzic,GA,0.78,11.55,70.47,93,100,5.26
170,Mithi,PK,24.73,69.8,62.62,32,0,10.18
171,Luderitz,NA,-26.65,15.16,64.4,88,0,11.41
172,Saskylakh,RU,71.92,114.08,-22.59,88,21,9.24
173,Tiksi,RU,71.69,128.87,-20.24,95,93,3.89
174,Honiara,SB,-9.43,159.95,78.8,94,40,4.7
175,Sitka,US,57.05,-135.33,34.14,69,90,20.8
176,Buala,SB,-8.14,159.59,82.13,80,82,4.05
177,Faanui,PF,-16.48,-151.75,82.02,81,88,15.3
178,Seddon,AU,-37.81,144.89,50.09,58,40,9.17
179,Aloleng,PH,16.13,119.78,65.95,77,67,5.19
180,Bud,US,39.45,-86.18,59.56,51,1,11.41
181,Emba,KZ,48.83,58.14,31.01,94,100,22.68
182,Bathsheba,BB,13.22,-59.52,84.2,62,20,14.99
183,Yumen,CN,40.28,97.2,18.91,47,100,3.8
184,Praia,CV,14.92,-23.51,82.4,28,0,8.05
185,Merauke,ID,-8.47,140.33,75.7,96,100,4.36
186,Bubaque,GW,11.28,-15.83,78.1,76,83,12.91
187,High Rock,BS,26.62,-78.28,69.8,73,20,9.17
188,Acapulco de Juarez,MX,16.86,-99.89,86.0,66,75,4.7
189,Paita,PE,-5.09,-81.11,62.6,100,0,17.22
190,Coahuayana Viejo,MX,18.73,-103.68,64.4,93,90,4.27
191,George Town,MY,5.41,100.34,76.93,88,20,4.65
192,Coyhaique,CL,-45.58,-72.07,52.34,81,40,5.82
193,Khatanga,RU,71.97,102.5,-17.21,77,0,16.51
194,Lubango,AO,-14.92,13.49,61.48,93,93,1.14
195,Hofn,IS,64.25,-15.21,35.6,69,75,9.17
196,Pangkalanbuun,ID,-2.68,111.62,74.05,96,100,0.31
197,Pakokku,MM,21.33,95.1,60.06,47,0,4.29
198,Wladyslawowo,PL,54.79,18.4,38.08,84,64,3.36
199,Nhulunbuy,AU,-12.23,136.77,80.6,94,100,14.99
200,Beloha,MG,-25.17,45.05,75.96,73,20,10.56
201,Acarau,BR,-2.89,-40.12,79.09,83,2,5.75
202,Dikson,RU,73.51,80.55,-9.2,82,100,15.39
203,Richards Bay,ZA,-28.78,32.04,77.95,83,0,14.72
204,Makakilo City,US,21.35,-158.09,75.96,73,40,3.36
205,Marzuq,YE,14.4,46.47,64.89,70,78,5.39
206,Maraba,BR,-5.37,-49.12,78.8,94,40,2.26
207,Morinville,CA,53.8,-113.65,10.4,84,75,3.36
208,Narrabri,AU,-30.32,149.78,70.38,64,82,16.11
209,Souillac,MU,-20.52,57.52,79.41,78,75,12.75
210,Meulaboh,ID,4.14,96.13,81.57,79,70,10.13
211,Sawakin,SD,19.11,37.33,73.4,73,100,5.82
212,Hamilton,US,39.18,-84.53,61.72,44,1,8.05
213,Vila Velha,BR,-20.33,-40.29,83.59,74,20,17.22
214,Maizuru,JP,35.45,135.33,34.74,77,87,1.99
215,Puerto Colombia,CO,10.99,-74.95,87.8,62,100,16.11
216,Northam,GB,51.03,-4.22,43.0,81,20,9.17
217,Bereket,TM,39.24,55.52,40.89,56,4,8.05
218,Olinda,BR,-8.01,-34.86,86.0,74,75,9.17
219,Contai,IN,21.78,87.75,61.65,49,0,5.66
220,Cabo San Lucas,MX,22.89,-109.91,73.18,77,20,16.11
221,Olafsvik,IS,64.89,-23.71,32.77,83,100,10.83
222,Zamora,EC,-4.07,-78.96,84.2,39,75,12.75
223,Chui,UY,-33.7,-53.46,77.07,67,0,14.45
224,Sambava,MG,-14.27,50.17,71.67,90,100,2.91
225,Kyzyl-Suu,KG,42.34,78.0,25.29,41,61,3.78
226,Leningradskiy,RU,69.38,178.42,-15.02,89,100,23.09
227,Clyde River,CA,70.47,-68.59,-32.8,66,1,3.36
228,San Jeronimo,PE,-11.95,-75.28,53.74,64,79,4.21
229,Safaga,EG,26.73,33.94,60.8,38,0,9.17
230,Santa Maria,BR,-29.68,-53.81,87.8,58,20,11.41
231,San Ramon,US,37.78,-121.98,51.28,29,1,25.28
232,Sao Filipe,CV,14.9,-24.5,70.05,69,0,19.22
233,Ahipara,NZ,-35.17,173.17,66.99,100,100,11.12
234,Butaritari,KI,3.07,172.79,82.27,71,100,15.12
235,Yulara,AU,-25.24,130.99,71.6,49,0,5.82
236,Rawson,AR,-43.3,-65.1,74.37,40,100,17.87
237,Hay River,CA,60.82,-115.8,-11.2,69,40,12.75
238,Sisimiut,GL,66.94,-53.67,0.97,72,0,8.01
239,Midleton,IE,51.92,-8.18,39.42,80,20,13.87
240,Geraldton,AU,-28.77,114.6,73.4,69,0,3.91
241,Gorontalo,ID,0.54,123.06,73.24,95,100,3.11
242,Suleja,NG,9.18,7.18,82.4,28,0,4.7
243,Kiryat Gat,IL,31.61,34.76,52.39,93,40,2.24
244,Matagami,CA,49.75,-77.63,26.6,86,90,9.17
245,Puerto Quijarro,BO,-17.78,-57.77,90.3,56,45,4.32
246,Paciran,ID,-6.88,112.38,74.79,96,100,1.7
247,North Bend,US,43.41,-124.22,42.71,75,40,6.17
248,Boa Vista,BR,2.82,-60.67,93.2,34,40,5.82
249,Lorengau,PG,-2.02,147.27,83.71,78,51,9.98
250,Glossa,GR,35.47,23.78,58.48,76,20,11.41
251,Hurghada,EG,27.26,33.81,60.8,38,0,9.17
252,Caravelas,BR,-17.71,-39.25,80.56,81,0,13.71
253,Asau,RO,46.43,26.4,40.42,100,90,6.93
254,Huarmey,PE,-10.07,-78.15,77.68,63,100,9.62
255,Muros,ES,42.78,-9.06,58.28,82,81,4.7
256,Constantine,DZ,36.37,6.61,50.0,81,0,3.36
257,Ostroh,UA,50.33,26.51,32.02,79,24,8.72
258,Lakes Entrance,AU,-37.88,147.98,48.99,80,0,14.03
259,Emilio Carranza,MX,19.97,-96.61,74.05,73,72,22.39
260,Ryotsu,JP,38.08,138.43,33.8,81,90,3.36
261,Avera,US,33.19,-82.53,74.71,25,1,5.82
262,Uray,RU,60.12,64.78,20.12,87,100,14.29
263,Brae,GB,60.4,-1.35,43.57,93,78,24.16
264,Ribeira Grande,PT,38.52,-28.7,59.0,77,40,14.99
265,Bani,DO,18.28,-70.33,80.2,78,73,1.99
266,Hong Kong,HK,22.29,114.16,60.12,82,40,4.7
267,Batagay-Alyta,RU,67.8,130.41,-23.89,65,0,2.73
268,Pevek,RU,69.7,170.31,-18.85,97,100,10.07
269,Moreira Sales,BR,-24.06,-53.01,82.58,78,12,5.57
270,Tulu Bolo,ET,8.67,38.22,61.27,71,32,10.27
271,Namatanai,PG,-3.67,152.43,83.86,75,0,9.82
272,Greece,US,43.21,-77.69,43.21,89,75,6.93
273,Pemangkat,ID,1.17,108.97,75.81,90,71,8.48
274,Mayumba,GA,-3.43,10.66,79.18,84,100,22.59
275,Santa Marta,CO,11.24,-74.2,95.0,47,20,12.75
276,Ikwiriri,TZ,-7.96,38.97,74.62,97,100,0.18
277,Omboue,GA,-1.57,9.26,75.16,93,100,3.8
278,Kokopo,PG,-4.35,152.26,82.33,77,33,10.49
279,Khokhryaki,RU,56.92,53.32,30.99,97,100,1.01
280,Port Blair,IN,11.67,92.75,79.34,73,0,17.29
281,Kurilsk,RU,45.23,147.88,23.16,87,100,27.56
282,Fort Nelson,CA,58.81,-122.7,-14.8,75,40,4.7
283,West Bay,KY,19.37,-81.42,78.85,65,40,12.75
284,Nantucket,US,41.28,-70.1,43.75,70,40,17.22
285,Wewak,PG,-3.55,143.63,76.08,91,99,4.81
286,Sorland,NO,67.67,12.69,25.75,92,90,3.36
287,Waddan,LY,29.16,16.14,56.82,62,0,0.83
288,Ponta do Sol,PT,32.67,-17.1,68.0,46,99,8.05
289,Vanavara,RU,60.34,102.28,-17.32,88,100,7.87
290,Avanuorri,NO,71.0,24.66,23.0,79,40,25.28
291,Beyneu,KZ,45.32,55.2,39.11,81,100,14.41
292,Beringovskiy,RU,63.05,179.32,-2.61,85,100,33.8
293,Margate,GB,51.38,1.39,45.52,81,100,9.17
294,Sibolga,ID,1.74,98.78,70.84,94,100,3.98
295,Pionerskiy,RU,54.95,20.23,32.0,73,24,8.95
296,Itoman,JP,26.12,127.67,60.1,72,40,5.82
297,Kajaani,FI,64.17,27.67,19.4,79,99,9.17
298,Kloulklubed,PW,7.04,134.26,77.0,88,90,6.93
299,Tilichiki,RU,60.47,166.1,-31.14,95,0,9.31
300,Udachny,RU,66.42,112.4,-29.2,66,1,2.24
301,Mangrol,IN,21.12,70.12,69.08,47,19,13.2
302,Berlevag,NO,70.86,29.09,24.8,79,40,19.46
303,Farmington,US,36.73,-108.22,45.77,27,90,21.92
304,Izumo,JP,35.37,132.77,33.8,86,75,5.82
305,Bredy,RU,52.42,60.34,27.14,94,100,22.12
306,Qaqortoq,GL,60.72,-46.03,32.0,56,75,34.45
307,Dubbo,AU,-32.25,148.62,64.4,68,2,11.41
308,Serro,BR,-18.6,-43.38,71.15,79,17,4.32
309,Tuatapere,NZ,-46.13,167.68,51.01,98,100,5.99
310,Elliot,ZA,-31.33,27.85,64.53,75,2,4.74
311,Luanda,AO,-8.84,13.23,81.73,76,46,10.45
312,Tiznit,MA,29.58,-9.5,63.34,32,0,3.44
313,Taua,BR,-5.97,-40.3,76.69,81,74,5.7
314,Vao,NC,-22.67,167.48,78.26,75,95,13.51
315,Emerald,AU,-23.53,148.17,75.56,94,90,1.59
316,Erenhot,CN,43.65,111.98,1.24,70,0,5.01
317,Honningsvag,NO,70.98,25.97,26.42,62,100,21.74
318,Goderich,CA,43.75,-81.72,37.27,75,94,4.0
319,Riyadh,SA,24.69,46.72,55.4,43,0,4.7
320,Blackpool,GB,53.82,-3.05,41.07,81,40,24.16
321,Buguruslan,RU,53.66,52.44,33.57,92,100,16.64
322,Piacabucu,BR,-10.41,-36.43,81.34,78,0,11.99
323,Berbera,SO,10.44,45.01,75.52,72,1,8.61
324,Visnes,NO,59.36,5.22,35.29,93,75,13.87
325,Zapolyarnyy,RU,69.42,30.81,17.6,85,30,13.87
326,Peleduy,RU,59.63,112.74,-33.25,98,0,1.14
327,Martapura,ID,-3.42,114.85,73.35,95,100,0.76
328,Fortuna,US,40.6,-124.16,46.81,65,1,11.41
329,Khorramshahr,IR,30.44,48.17,50.0,66,0,2.24
330,Luau,AO,-10.71,22.22,65.84,95,100,1.9
331,Sao Miguel do Araguaia,BR,-13.28,-50.16,81.97,85,58,2.64
332,Narsaq,GL,60.92,-46.05,32.0,54,75,34.45
333,Borujerd,IR,33.9,48.75,16.84,67,0,6.44
334,Korla,CN,41.76,86.15,17.82,45,100,3.53
335,Shymkent,KZ,42.3,69.6,37.4,93,90,6.71
336,Beira,MZ,-19.84,34.84,82.4,83,40,10.29
337,Roald,NO,62.58,6.13,28.29,55,100,8.05
338,Kalmunai,LK,7.42,81.82,80.74,75,3,12.59
339,Ciudad Bolivar,VE,8.12,-63.55,94.24,25,100,9.53
340,Prince Albert,CA,53.2,-105.77,1.4,70,75,12.75
341,Chifeng,CN,42.27,118.96,1.2,45,0,11.88
342,Podor,MR,16.65,-14.96,84.24,10,69,9.53
343,Husavik,IS,66.04,-17.34,14.0,92,75,1.12
344,Tabas,IR,33.6,56.92,41.0,65,0,4.97
345,Tessalit,ML,20.2,1.01,71.22,9,0,12.86
346,Katangli,RU,51.71,143.23,2.46,94,100,8.14
347,Pritzwalk,DE,53.15,12.17,45.16,91,100,5.01
348,Srednekolymsk,RU,67.45,153.68,-32.31,97,12,11.23
349,Saint-Pierre,RE,-21.34,55.48,75.33,65,0,20.8
350,Kutum,SD,14.2,24.67,54.52,21,2,5.68
351,Alta Floresta,BR,-9.88,-56.09,86.0,70,20,9.17
352,Vestmannaeyjar,IS,63.44,-20.27,38.16,79,100,9.73
353,Chiriguana,CO,9.36,-73.6,97.97,34,35,5.86
354,Marsh Harbour,BS,26.54,-77.06,69.69,52,0,5.88
355,Nome,US,64.5,-165.41,10.4,85,90,25.28
356,Auch,FR,43.65,0.58,56.59,81,0,4.7
357,Fort-Shevchenko,KZ,44.51,50.26,40.66,89,73,12.64
358,Talnakh,RU,69.49,88.4,-5.8,76,40,26.84
359,Alice Springs,AU,-23.7,133.88,71.6,60,90,12.75
360,Yaring,TH,6.87,101.37,78.62,74,96,15.43
361,Tarakan,ID,3.3,117.63,78.01,81,85,10.8
362,Pocone,BR,-16.26,-56.62,93.27,51,70,1.92
363,Tanout,NE,14.97,8.89,66.31,17,0,10.49
364,Norman Wells,CA,65.28,-126.83,-16.6,68,75,3.36
365,Marawi,PH,8.0,124.29,69.01,85,100,5.99
366,Andenes,NO,69.31,16.12,25.99,86,75,10.29
367,Key West,US,24.56,-81.78,70.86,56,1,8.05
368,Flagstaff,US,35.2,-111.65,41.88,33,1,17.22
369,Tawang,IN,27.58,91.87,17.13,85,0,4.5
370,Svetlaya,RU,46.54,138.33,8.87,67,0,7.87
371,Monte Alegre,BR,-2.01,-54.07,85.3,64,92,3.65
372,Teahupoo,PF,-17.83,-149.27,87.46,58,75,6.93
373,Kruisfontein,ZA,-34.0,24.73,71.78,91,77,2.26
374,Hohhot,CN,40.81,111.65,3.2,77,0,4.47
375,Aldan,RU,58.6,125.39,-29.31,100,100,3.27
376,Fairbanks,US,64.84,-147.72,6.67,91,90,2.21
377,Colac,AU,-38.33,143.58,47.55,87,0,1.07
378,Ucluelet,CA,48.93,-125.55,35.17,74,5,3.36
379,Matara,LK,5.95,80.54,73.47,84,61,7.83
380,Ojinaga,MX,29.57,-104.42,68.27,37,90,8.05
381,Abnub,EG,27.27,31.15,55.4,66,0,9.17
382,Mossamedes,AO,-15.2,12.15,73.36,77,100,1.92
383,Zarand,IR,30.81,56.56,30.65,44,0,2.64
384,Praia da Vitoria,PT,38.73,-27.07,59.0,77,20,14.36
385,Kandrian,PG,-6.22,149.55,78.35,88,100,5.46
386,Yarkovo,RU,57.4,67.08,12.29,91,97,10.96
387,Port Keats,AU,-14.25,129.55,81.82,81,100,12.75
388,Illapel,CL,-31.63,-71.17,74.39,33,0,10.09
389,Sayyan,YE,15.17,44.32,51.73,58,98,2.37
390,Edd,ER,13.93,41.69,81.73,44,0,7.27
391,Altay,CN,47.87,88.12,11.75,41,65,5.53
392,Okha,RU,53.57,142.95,14.65,94,100,14.07
393,Hasaki,JP,35.73,140.83,34.92,80,20,1.12
394,Kawalu,ID,-7.38,108.21,70.68,92,98,3.33
395,Cockburn Town,TC,21.46,-71.14,82.4,54,5,9.17
396,Port Macquarie,AU,-31.43,152.92,67.41,63,90,16.84
397,Ereymentau,KZ,51.62,73.1,13.06,93,79,13.8
398,Magadan,RU,59.57,150.8,-11.96,77,0,12.24
399,Muroto,JP,33.28,134.15,35.37,71,66,5.75
400,Guerrero Negro,MX,27.98,-114.06,63.32,57,72,17.09
401,Dossor,KZ,47.53,52.98,38.25,79,100,18.48
402,Constitucion,CL,-35.33,-72.42,65.03,68,0,9.93
403,Faranah,GN,10.04,-10.74,74.68,14,0,3.11
404,Ixtapa,MX,20.7,-105.2,70.45,94,90,6.93
405,Ban Nahin,LA,18.24,104.21,71.65,63,100,3.67
406,Ishigaki,JP,24.34,124.16,68.97,62,13,10.0
407,Itarema,BR,-2.92,-39.92,79.09,83,2,5.75
408,Vegreville,CA,53.5,-112.05,10.99,80,49,4.25
409,Waterbury,US,41.56,-73.05,49.14,65,20,11.41
410,Proletariy,RU,58.43,31.7,29.52,78,100,13.78
411,Barra,BR,-11.09,-43.14,83.5,68,60,6.26
412,Coos Bay,US,43.37,-124.22,42.35,81,75,6.17
413,Bandarbeyla,SO,9.49,50.81,76.44,72,100,19.82
414,Ardino,BG,41.58,25.13,57.45,41,40,11.41
415,Zorgo,BF,12.25,-0.62,73.72,11,0,10.4
416,Falmouth,GB,50.15,-5.07,44.38,75,40,21.92
417,San Patricio,MX,19.22,-104.7,73.4,83,90,4.63
418,Okhotsk,RU,59.38,143.3,-15.54,52,24,4.56
419,Kodinsk,RU,58.69,99.18,-10.01,87,100,8.84
420,Anahuac,MX,27.23,-100.15,68.0,60,90,14.99
421,Ginda,IN,30.69,78.49,36.66,42,0,4.16
422,Puerto Madryn,AR,-42.77,-65.04,89.02,15,74,24.2
423,Aquiraz,BR,-3.9,-38.39,84.69,66,40,10.29
424,Puerto Escondido,MX,15.85,-97.07,86.0,79,75,4.7
425,Iqaluit,CA,63.75,-68.51,6.8,71,90,2.24
426,Syumsi,RU,57.11,51.61,32.52,98,100,7.92
427,Durres,AL,41.32,19.44,51.8,87,75,2.24
428,Belmonte,BR,-15.86,-38.88,83.34,79,75,5.82
429,Ancud,CL,-41.87,-73.82,62.6,55,40,13.87
430,Seoul,KR,37.57,126.98,19.2,73,20,1.12
431,Haines City,US,28.11,-81.62,73.27,37,1,3.24
432,Pangody,RU,65.85,74.49,8.92,94,100,19.44
433,Gazli,UZ,40.13,63.45,38.88,72,39,5.86
